Ив-Авто,"Варшавское ш., 94, Москва",+7 (926) 400-73-00,"пн-пт 10:00–22:00; сб,вс 10:00–21:00"
Сто-99,"Профсоюзная ул., 78А, стр. 4, Москва","+7 (495) 294-50-70, +7 (967) 152-90-40, +7 (926) 004-47-26","ежедневно, 10:00–21:00"
АвтоРеалСервис,"ул. Москворечье, 14Б, Москва","+7 (965) 240-99-79, +7 (916) 025-02-50","ежедневно, 10:00–21:00"
Гараж на час самообслуживания Автомастерская ZapGar,"ул. Маршала Прошлякова, 32, Москва, Россия",+7 (925) 391-86-50,"ежедневно, 10:00–23:00"
АвтоГАЗ - Официальный дилер ГАЗ,"Полярная ул., 31В, стр. 1, Москва",+7 (495) 287-00-50,пн-сб 9:00–20:00; вс 9:00–18:00
Cpd-service,"ул. Ивана Франко, 4, корп. 16, Москва, Россия",+7 (926) 528-09-09,пн-сб 9:00–21:00
АмдЗап,"ул. Красного Маяка, 16, Москва",+7 (495) 700-88-88,"ежедневно, 09:00–20:00"
"Автотехпомощь, эвакуация автомобилей","Рублёвское ш., 66, стр. 5, Москва",+7 (999) 999-90-24,"ежедневно, круглосуточно"
Студия авто и мото детейлинга Foreground,"5-я Кабельная ул., 2, стр. 2","+7 (929) 530-28-58, +7 (499) 113-54-52","ежедневно, 10:00–20:00"
ТехцентрГАЗ Восток,"Открытое ш., 20, Москва","+7 (985) 443-49-81, +7 (495) 967-53-90","ежедневно, 09:00–20:00, перерыв 13:00–14:00"
Avtotehnik24.ru,"Хорошёвское ш., 39Б","+7 (495) 744-31-79, +7 (925) 450-01-04, +7 (929) 936-68-36","ежедневно, круглосуточно"
Разборка-Москва,"Каширское ш., 45, стр. 3, Москва","+7 (903) 733-62-05, +7 (963) 993-22-24","
                "
H2-auto,"Полярная ул., 39, стр. 1, Москва",+7 (495) 008-48-48,"ежедневно, 09:00–21:00"
Лэндавто,"ул. Перерва, 19, стр. 3","+7 (495) 180-41-71, +7 (903) 589-50-58","ежедневно, 09:00–21:00"
BMW Мотор Эксперт,"5-й Верхний Михайловский пр., 2, стр. 2, Москва","+7 (495) 114-55-52, +7 (495) 740-59-07","ежедневно, 09:00–21:00"
Автотело,"Полярная ул., 39, стр. 3, Москва",+7 (495) 972-70-63,"ежедневно, 09:00–21:00"
G-Energy Service,"ул. Обручева, 23, корп. 1, Москва","+7 (495) 153-41-72, +7 (495) 729-52-95, +7 (985) 760-08-00","ежедневно, 09:00–21:00"
Выездной Автоэлектрик,"Домодедовская ул., 42А","+7 (495) 507-11-23, +7 (906) 735-23-13, +7 (925) 416-30-73","ежедневно, 08:00–21:00"
ГрузиВезу,"Денисьевский пр., 17, Дзержинский","+7 (926) 816-90-13, +7 (495) 979-90-13","
                "
PIParts service,"Стахановская ул., 24/32Ас1",+7 (966) 000-41-40,пн-пт 11:00–21:00
"Автосервис, автотехцентр","Россия, Москва, Боровское шоссе, 6, корп. 4",+7 (926) 837-05-37,"ежедневно, 10:00–22:00"
Nil – автовинил,"ул. Удальцова, 60",+7 (495) 323-91-00,"ежедневно, 10:00–21:00"
Кутузовв,"Краснобогатырская ул., 89, стр. 1, Москва",+7 (499) 302-00-57,"ежедневно, 10:00-19:00"
